RA DEC
214.990680 52.912903
214.966779 52.924995
214.970214 52.898374
214.946583 52.910781
214.893381 52.874347
214.916947 52.862042
214.913714 52.888641
214.937499 52.876393
214.990437 52.912901
214.966536 52.924993
214.969970 52.898373
214.946339 52.910780
214.893138 52.874346
214.916704 52.862040
214.913470 52.888640
214.937256 52.876391
214.990924 52.912905
214.967023 52.924997
214.970458 52.898377
214.946826 52.910783
214.893624 52.874350
214.917190 52.862044
214.913957 52.888643
214.937743 52.876395
